,AUC,Accuracy,Precision,Recall,F1-Score,Brier Score,Threshold
RandomForest,0.8171349608475358,0.7611111111111111,0.23214285714285715,1.0,0.37681159420289856,0.1471817488906537,0.38171829835472193
XGBoost,0.7977890373099953,0.7555555555555555,0.22807017543859648,1.0,0.3714285714285714,0.192864725220321,0.09678555279970169
Logistic_Interactions,0.7858129894058038,0.7833333333333333,0.25,1.0,0.4,0.2272009476308868,0.5595599031441815
Logistic_Poly,0.7789037309995394,0.7722222222222223,0.24074074074074073,1.0,0.3880597014925373,0.23316955847885426,0.4805597527365526
Lasso_Poly,0.7779824965453708,0.7722222222222223,0.24074074074074073,1.0,0.3880597014925373,0.2257800056924869,0.6106784798188962
ElasticNet,0.7701520036849377,0.7722222222222223,0.24074074074074073,1.0,0.3880597014925373,0.22441084637368697,0.5678703626243771
Lasso,0.7701520036849377,0.7722222222222223,0.24074074074074073,1.0,0.3880597014925373,0.22517385355912622,0.5663081744137426
Ridge,0.7696913864578535,0.7722222222222223,0.24074074074074073,1.0,0.3880597014925373,0.2242599887943091,0.5778260780831466
Logistic,0.7692307692307693,0.7611111111111111,0.23214285714285715,1.0,0.37681159420289856,0.22531784239235253,0.48735913915945805
